movieid,detail,genres,poster_image,release_date,title
31,,Horror,https://image.tmdb.org/t/p/w200/sGSzha9K65abyvzBwXXnSV2sHWV.jpg,2023-02-10,커뮤니언 걸
32,"북한 고위 관리가 망명을 요청한 이후, 안기부 해외팀 차장 박평호와 국내팀 차장 김정도는 동림으로 알려진 안기부 내 스파이, 남파간첩 총책임자를 밝혀내는 임무를 맡는다. 이윽고 동림이 국가 안보를 위태롭게 할 1급 비밀 정보를 누설하기 시작하고 안기부의 해외팀과 국내팀은 서로를 조사하기에 이른다. 당장 스파이를 밝혀내지 못하면 자신이 혐의를 받을 수 있는 일촉즉발의 상황에서 평호와 정도는 서서히 진실을 찾아내고, 마침내 대한민국 1호 암살 작전이라는 거대한 사건과 직면하게 되는데...",Thriller|Action,https://image.tmdb.org/t/p/w200/owt8hAoRxyK2tkLj9G0nh0r3Vpr.jpg,2022-08-10,헌트
33,"토리노 박물관에서 전시 중이던 예수 그리스도의 시신을 감쌌던 수의가 강탈되는 장면을 목격하면서 미국에서 유학 온 예술대 학생 로라의 운명이 참극으로 치닫게 된다. 로라에게 착상한 생명은 사탄인가, 재림 예수인가?",Horror|Fantasy|Science Fiction|Thriller,https://image.tmdb.org/t/p/w200/AdkReuLR9vumTzuFGTl9UBkpLTN.jpg,2023-01-13,악마의 부활
34,과거 공원에 놀러갔다가 잠시 한눈을 판 사이에 어린 딸을 잃어버린 대니 루크 형사는 힘든 나날을 보내고 있다. 그러던 어느 날 시민의 신고로 출동한 은행 강도 사건에서 딸의 실종과 관련된 단서를 발견하는데…,Crime|Mystery|Thriller,https://image.tmdb.org/t/p/w200/3IhGkkalwXguTlceGSl8XUJZOVI.jpg,2023-05-11,힙노틱
35,"이 작품은 자유로운 영혼을 지닌 두 여자가 총상 입은 현상금 사냥꾼을 만나고, 그의 현상금을 나눠 갖기 위해 추적에 동참하는 흥미진진한 서부극이다.",Western|Action,https://image.tmdb.org/t/p/w200/rd8sP6KMIL3xNdE6eVjcHpBGMF9.jpg,2023-04-21,두 죄인과 노새
36,"강력한 힘을 가진 전쟁과 지혜의 신 ‘아테나’의 환생! 세상을 구할 수호 기사가 깨어난다!  어린 시절 누나 ‘패트리샤’가 납치된 후 홀로 자란 ‘세이야’  슬럼가 지하 격투장에서 벌어지는 결투로 근근이 살아가던 중, 위기의 상황에서 자신도 알지 못했던 미스터리한 힘이 발현되면서 ‘아테나’를 찾고 있던 ‘구라드’의 무장 조직에게 쫓기게 된다.  수수께끼의 남자 ‘알먼 키도’에 의해 가까스로 목숨을 구한 ‘세이야’는 그를 따라 도착한 은신처에서 ‘아테나’의 환생인 ‘시에나’와 마주한다. 오래전, 다른 신들에 맞서 인간을 지키던 전쟁과 지혜의 신 ‘아테나’ ‘알먼 키도’는 ‘시에나’에게 잠재된 ‘아테나’의 힘이 곧 깨어날 것이며, ‘세이야’는 ‘아테나’를 수호하고 세상을 지킬 성투사의 운명을 가졌다는 사실을 알려주는데...",Fantasy|Action|Adventure,https://image.tmdb.org/t/p/w200/fBNl8kpFMz5ugi3RGYfenKctzjq.jpg,2023-04-27,세인트 세이야: 더 비기닝
37,"오랫동안 킬러 생활을 하면서 무의미한 삶을 살던 모건은 소피를 만나면서부터 인간다운 인생을 꿈꾸기 시작한다. 그래서 고민 끝에 킬러 생활을 청산하려고 하지만, 자신도 모르는 사이에 자신이 누군가 설계한 킬러들의 RPG 게임에 합류했다는 사실을 깨닫는다. 플레이어는 총 7명. 처음에는 영문을 몰라 어리둥절해 하던 킬러들. 하지만 곧 전투본능을 되살려 돈과 목숨을 지키기 위해서 치열한 사투를 벌인다. 그렇게 죽고 죽이는 게임 끝에 마침내 단 두 명의 킬러만이 남는다. 바로 모건과 정체불명의 인물 포크! 포크는 게임 설계자를 찾아 제거하자고 하면서 모건에게 접근하는데... 과연 모건은 최후의 승리자가 되고 킬러들의 세계에서 벗어날 수 있을까?",Action|Mystery|Thriller,https://image.tmdb.org/t/p/w200/y2d2SBqK33mGOG2CqAYMo3YbWE4.jpg,2023-02-24,어쎄신 클럽
38,악의 주체에 의해 부활한 아트 더 클라운은 마일즈 카운티로 돌아와 할로윈 밤에 10대 소녀와 그녀의 남동생을 사냥하고 살해한다. 시체의 수가 증가함에 따라 형제자매들은 아트 더 클라운의 악한 의도의 진면목을 들춰내면서 생존을 위해 싸운다.,Horror|Thriller,https://image.tmdb.org/t/p/w200/8gLhu8UFPZfH2Hv11JhTZkb9CVl.jpg,2022-10-06,테리파이어 2
39,,Science Fiction|Thriller|Drama,https://image.tmdb.org/t/p/w200/pD1o9B0ibENdNroYrBCQemG2jnr.jpg,2023-03-17,라스트 센티널
40,"2017년 6월 3일,  25세의 리얼리티 위너는 심부름을 마치고 돌아와 조지아주 오거스타에 있는 자택에서 FBI 요원 두 명을 만난다. 공군 베테랑이자 요가 강사인 위너는 2시간 동안 정보 계약자로서의 업무, 특히 2016년 미국 대선에 러시아가 개입했다는 기밀 문서를 유출했는지 여부에 대해 심문을 받게되는데…",Drama,https://image.tmdb.org/t/p/w200/4rS1rcaeIJd2zdTn2G8RMfTNeiV.jpg,2023-06-02,리얼리티
